Organism_Code	Organism_Name
spt	Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
sek	Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
spq	Salmonella enterica subsp. enterica serovar Paratyphi B
sei	Salmonella enterica subsp. enterica serovar Paratyphi C
sec	Salmonella enterica subsp. enterica serovar Choleraesuis
seh	Salmonella enterica subsp. enterica serovar Heidelberg SL476
shb	Salmonella enterica subsp. enterica serovar Heidelberg B182
senh	Salmonella enterica subsp. enterica serovar Heidelberg CFSAN002069
seeh	Salmonella enterica subsp. enterica serovar Heidelberg 41578
see	Salmonella enterica subsp. enterica serovar Newport SL254
senn	Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
sew	Salmonella enterica subsp. enterica serovar Schwarzengrund
sea	Salmonella enterica subsp. enterica serovar Agona SL483
sens	Salmonella enterica subsp. enterica serovar Agona 24249
sed	Salmonella enterica subsp. enterica serovar Dublin
seg	Salmonella enterica subsp. enterica serovar Gallinarum 287/91
sel	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
sega	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67
set	Salmonella enterica subsp. enterica serovar Enteritidis P125109
sena	Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
seno	Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
senv	Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
senq	Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
senl	Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1
senj	Salmonella enterica subsp. enterica serovar Javiana
seec	Salmonella enterica subsp. enterica serovar Cubana
seeb	Salmonella enterica subsp. enterica serovar Bareilly
seep	Salmonella enterica subsp. enterica serovar Pullorum
senb	Salmonella enterica subsp. enterica serovar Bovismorbificans
sene	Salmonella enterica subsp. enterica serovar Thompson
senc	Salmonella enterica subsp. enterica serovar Tennessee
ses	Salmonella enterica subsp. arizonae
sbg	Salmonella bongori NCTC 12419
sbz	Salmonella bongori N268-08
sbv	Salmonella bongori serovar 48:z41:--
salz	Salmonella sp. SSDFZ69
sfl	Shigella flexneri 301 (serotype 2a)
sfx	Shigella flexneri 2457T (serotype 2a)
sfv	Shigella flexneri 8401 (serotype 5b)
sfe	Shigella flexneri 2002017 (serotype Fxv)
sfn	Shigella flexneri 2003036
sfs	Shigella flexneri Shi06HN006 (serotype Yv)
sft	Shigella flexneri NCTC1 (serotype 2a)
ssn	Shigella sonnei Ss046
sbo	Shigella boydii Sb227 (serotype 4)
sbc	Shigella boydii CDC 3083-94 (serotype 18)
sdy	Shigella dysenteriae Sd197
sdz	Shigella dysenteriae 1617 (serotype 1)
shq	Shigella sp. PAMC 28760
shig	Shigella sp. PIB
enc	Enterobacter cloacae subsp. cloacae ATCC 13047
enl	Enterobacter cloacae subsp. dissolvens SDM
eclg	Enterobacter cloacae GGT036
ecle	Enterobacter cloacae ECNIH2
ecln	Enterobacter cloacae ECNIH4
ecli	Enterobacter cloacae ECNIH5
eclx	Enterobacter hormaechei subsp. xiangfangensis 34399
ecly	Enterobacter hormaechei subsp. steigerwaltii
eclz	Enterobacter hormaechei subsp. hormaechei
eclo	Enterobacter hormaechei NCTC 9394
ehm	Enterobacter hormaechei CAV1176
exf	Enterobacter hormaechei subsp. xiangfangensis
ecla	Enterobacter hormaechei subsp. hoffmannii ECNIH3
eclc	Enterobacter hormaechei subsp. hoffmannii ECR091
eau	Enterobacter asburiae L1
ekb	Enterobacter kobei DSM 13645
eno	Enterobacter kobei ENHKU01
eec	Enterobacter ludwigii EcWSU1
elg	Enterobacter ludwigii EN-119
ecan	Enterobacter cancerogenus
ern	Enterobacter roggenkampii DSM 16690
ecls	Enterobacter roggenkampii 35734
echg	Enterobacter chengduensis
esh	Enterobacter sichuanensis
ept	Enterobacter pasteurii
ent	Enterobacter sp. 638
eas	Enterobacter soli
enr	Enterobacter sp. R4-368
enx	Enterobacter sp. E20
enf	Enterobacter sp. FY-07
lni	Enterobacter sp. SGAir0187
ebg	Enterobacter bugandensis
end	Enterobacter sp. ODB01
enz	Enterobacter sp. T2
ens	Enterobacter sp. DSM 30060
enk	Enterobacter sp. AN-K1
ehu	Enterobacter huaxiensis
emor	Enterobacter mori
enb	Enterobacter sp. N18-03635
equ	Enterobacter quasiroggenkampii
epu	Enterobacter pseudoroggenkampii
enh	Enterobacter sp. EA-1
edy	Enterobacter dykesii
eax	Enterobacter adelaidei
esa	Cronobacter sakazakii ATCC BAA-894
csk	Cronobacter sakazakii ES15
csz	Cronobacter sakazakii Sp291
csj	Cronobacter sakazakii ATCC 29544
ccon	Cronobacter condimenti
cdm	Cronobacter dublinensis
csi	Cronobacter malonaticus CMCC45402
cmj	Cronobacter malonaticus LMG 23826
cui	Cronobacter universalis
cmw	Cronobacter muytjensii
ctu	Cronobacter turicensis
kpn	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (serotype K52)
kpu	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 (serotype K1)
kpm	Klebsiella pneumoniae subsp. pneumoniae HS11286
kpp	Klebsiella pneumoniae subsp. pneumoniae 1084 (serotype K1)
kph	Klebsiella pneumoniae subsp. pneumoniae KPNIH24
kpz	Klebsiella pneumoniae subsp. pneumoniae KPNIH27
kpv	Klebsiella pneumoniae subsp. pneumoniae KPNIH29
kpw	Klebsiella pneumoniae subsp. pneumoniae KPNIH30
kpy	Klebsiella pneumoniae subsp. pneumoniae KPNIH31
kpg	Klebsiella pneumoniae subsp. pneumoniae KPNIH32
kpc	Klebsiella pneumoniae subsp. pneumoniae KPNIH10
kpq	Klebsiella pneumoniae subsp. pneumoniae KPR0928
kpt	Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 KPPR1
kpo	Klebsiella pneumoniae KCTC 2242
kpr	Klebsiella pneumoniae subsp. rhinoscleromatis SB3432
kpj	Klebsiella pneumoniae JM45
kpi	Klebsiella pneumoniae CG43
kpa	Klebsiella pneumoniae 30660/NJST258_1
kps	Klebsiella pneumoniae 30684/NJST258_2
kpx	Klebsiella pneumoniae PMK1
kpb	Klebsiella pneumoniae blaNDM-1
kpne	Klebsiella pneumoniae 32192
kpnu	Klebsiella pneumoniae 34618
kpnk	Klebsiella pneumoniae Kp52.145
kva	Klebsiella variicola At-22
kpe	Klebsiella variicola 342
kpk	Klebsiella variicola KP5-1
kvd	Klebsiella variicola DX120E
kvq	Klebsiella variicola DSM 15968
kqu	Klebsiella quasipneumoniae
kqv	Klebsiella quasivariicola
kox	Klebsiella michiganensis KCTC 1686
koe	Klebsiella michiganensis E718
koy	Klebsiella michiganensis HKOPL1
kom	Klebsiella michiganensis M1
kmi	Klebsiella michiganensis RC10
kok	Klebsiella oxytoca KONIH1
koc	Klebsiella oxytoca CAV1374
eae	Klebsiella aerogenes KCTC 2190
ear	Klebsiella aerogenes EA1509E
kll	Klebsiella sp. LTGPAF-6F
klw	Klebsiella huaxiensis
kar	Klebsiella africana
kgr	Klebsiella grimontii
kpas	Klebsiella pasteurii
klc	Klebsiella sp. CTHL.F3a
klm	Klebsiella sp. M5al
ree	Klebsiella electrica
klp	Klebsiella sp. MPUS7
ror	Raoultella ornithinolytica B6
ron	Raoultella ornithinolytica S12
rpln	Raoultella planticola
rao	Raoultella sp. X13
rtg	Raoultella terrigena
cro	Citrobacter rodentium
cko	Citrobacter koseri
cfd	Citrobacter freundii CFNIH1
cbra	Citrobacter braakii
cwe	Citrobacter werkmanii
cyo	Citrobacter youngae
cpot	Citrobacter portucalensis
cfq	Citrobacter freundii complex sp. CFNIH3
csed	Citrobacter sedlakii
cama	Citrobacter amalonaticus Y19
caf	Citrobacter amalonaticus FDAARGOS_165
cif	Citrobacter sp. FDAARGOS_156
cfar	Citrobacter farmeri
cir	Citrobacter sp. CFNIH10
cie	Citrobacter sp. CRE-46
cpar	Citrobacter pasteurii
ctel	Citrobacter telavivensis
citz	Citrobacter tructae
cars	Citrobacter arsenatis
cix	Citrobacter sp. XT1-2-2
cib	Citrobacter sp. TSA-1
cens	Citrobacter enshiensis
citr	Citrobacter sp. LUTT5
ciq	Citrobacter sp. TBCP-5362
ciy	Citrobacter sp. Y3
bfl	Candidatus Blochmanniella floridana
bpn	Candidatus Blochmanniella pennsylvanica
bva	Candidatus Blochmanniella vafra
bchr	Candidatus Blochmanniella chromaiodes
bhb	Candidatus Blochmanniella camponoti
bvx	Candidatus Blochmannia vicinus (nom. nud.)
ben	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757
bed	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675
bec	Blochmannia endosymbiont of Colobopsis nipponica
bem	Blochmannia endosymbiont of Camponotus modoc
bocr	Candidatus Blochmannia ocreatus (nom. nud.)
wca	Candidatus Westeberhardia cardiocondylae
hde	Candidatus Hamiltonella defensa (Acyrthosiphon pisum)
sect	Secondary endosymbiont of Ctenarytaina eucalypti
sehc	Secondary endosymbiont of Heteropsylla cubana
senm	Secondary endosymbiont of Trabutina mannipara
rip	Candidatus Riesia pediculicola
rig	Candidatus Riesia sp. GBBU
rped	Candidatus Riesia pediculischaeffi
men	Candidatus Moranella endobia PCIT
meo	Candidatus Moranella endobia PCVAL
ebt	Shimwellia blattae
cnt	Cedecea neteri SSMD04
cem	Cedecea neteri M006
cen	Cedecea neteri ND14a
clap	Cedecea lapagei
pge	Pluralibacter gergoviae
esc	Enterobacter lignolyticus SCF1
kle	Enterobacter lignolyticus G5
ksa	Kosakonia sacchari
kor	Kosakonia oryzae
krd	Kosakonia radicincitans
kco	Kosakonia cowanii
kot	Kosakonia sp. CCTCC M2018092
kpse	Kosakonia pseudosacchari
kob	Kosakonia sp. SMBL-WEM22
koo	Kosakonia oryzendophytica
kou	Kosakonia sp. MUSA4
kca	Kosakonia calanthes
kgo	Kluyvera genomosp. 3
kie	Kluyvera intermedia
kas	Kluyvera ascorbata
klu	Kluyvera sp. CRP
kcy	Kluyvera cryocrescens
icp	Candidatus Ishikawaella capsulata
lax	Leclercia adecarboxylata
lei	Leclercia sp. LSNIH1
leh	Leclercia sp. LSNIH3
lee	Leclercia sp. W17
ler	Leclercia sp. Colony189
lea	Leclercia sp. J807
lpnu	Leclercia pneumoniae
ley	Leclercia sp. W6
laz	Lelliottia amnigena
lef	Lelliottia jeotgali
lew	Lelliottia sp. WB101
buf	Buttiauxella sp. 3AFRM03
bage	Buttiauxella agrestis
bft	Buttiauxella ferragutiae
bsel	Buttiauxella selenatireducens
sbw	Candidatus Tachikawaea gelatinosa
den	Candidatus Doolittlea endobia
hed	Candidatus Hoaglandella endobia
ged	Candidatus Gullanella endobia
cmik	Candidatus Mikella endobia
ppet	Candidatus Purcelliella pentastirinorum
sym	Symbiopectobacterium purcellii
apin	Candidatus Annandia pinicola
aade	Candidatus Annandia adelgestsuga
ahn	Atlantibacter hermannii
asub	Atlantibacter subterraneus
yre	Yokenella regensburgei
sgoe	Scandinavium goeteborgense
kin	Phytobacter ursingii
pdz	Phytobacter diazotrophicus
mety	Phytobacter sp. MRY16-398
izh	Jejubacter calystegiae
ptf	Candidatus Profftia tarda
plar	Candidatus Profftia lariciata
sny	Candidatus Schneideria nysicola
pshi	Plesiomonas shigelloides
psgc	Pseudocitrobacter corydidari
scol	Siccibacter colletis
pvj	Pseudescherichia vulneris
supe	Superficieibacter sp. HKU1
toe	Trabulsiella odontotermitis
aapt	Apirhabdus apintestini
mphg	Mangrovibacter phragmitis
fpul	Franconibacter pulveris
ebf	Enterobacteriaceae bacterium FGI 57
ebc	Enterobacteriaceae bacterium ENNIH2
ebu	Enterobacteriaceae bacterium S05
ebb	Enterobacteriaceae bacterium bta3-1
psts	Plautia stali symbiont
eep	Enterobacteriaceae endosymbiont of Plateumaris pusilla
eem	Enterobacteriaceae endosymbiont of Macroplea mutica
ype	Yersinia pestis CO92 (biovar Orientalis)
ypk	Yersinia pestis KIM10+ (biovar Mediaevalis)
yph	Yersinia pestis Harbin 35 (biovar Medievalis)
ypa	Yersinia pestis Antiqua (biovar Antiqua)
ypn	Yersinia pestis Nepal516 (biovar Antiqua)
ypm	Yersinia pestis 91001 (biovar Microtus)
ypp	Yersinia pestis Pestoides F (biovar Antiqua)
ypg	Yersinia pestis Angola
ypz	Yersinia pestis Z176003
ypt	Yersinia pestis A1122
ypd	Yersinia pestis D106004
ypx	Yersinia pestis D182038
ypw	Yersinia pestis PBM19
ypj	Yersinia pestis Harbin35
ypv	Yersinia pestis Shasta
ypl	Yersinia pestis El Dorado
yps	Yersinia pseudotuberculosis IP 32953 (serotype I)
ypo	Yersinia pseudotuberculosis IP 32953 (serotype 1)
ypi	Yersinia pseudotuberculosis IP 31758 (serotype O:1b)
ypy	Yersinia pseudotuberculosis YPIII (serotype O:3)
ypb	Yersinia pseudotuberculosis PB1/+ (serotype 1B)
ypq	Yersinia pseudotuberculosis ATCC 6904
ypu	Yersinia pseudotuberculosis MD67
ypr	Yersinia pseudotuberculosis EP2/+
ypc	Yersinia pseudotuberculosis 1
ypf	Yersinia pseudotuberculosis PA3606
yen	Yersinia enterocolitica subsp. enterocolitica 8081 (serotype 0:8)
yep	Yersinia enterocolitica subsp. palearctica 105.5R(r) (serotype:O:9)
yey	Yersinia enterocolitica subsp. palearctica Y11 (serotype:0:3)
yew	Yersinia enterocolitica WA
yet	Yersinia enterocolitica 2516-87
yef	Yersinia enterocolitica FORC_002
yee	Yersinia enterocolitica (type O:5) YE53/03
ysi	Yersinia similis
yal	Yersinia aldovae
yfr	Yersinia frederiksenii
yin	Yersinia intermedia
ykr	Yersinia rochesterensis
yro	Yersinia rohdei
yru	Yersinia ruckeri YRB
yrb	Yersinia ruckeri Big Creek 74 (serotype O2)
yak	Yersinia aleksiciae
yma	Yersinia massiliensis
yhi	Yersinia hibernica CFS1934
yel	Yersinia hibernica LC20
yca	Yersinia canariae
ymo	Yersinia mollaretii
yas	Yersinia alsatica
yki	Yersinia kristensenii
yeg	Yersinia entomophaga
smar	Serratia marcescens SM39
smac	Serratia marcescens subsp. marcescens Db11
smw	Serratia marcescens WW4
spe	Serratia proteamaculans
srr	Serratia plymuthica AS9
srl	Serratia plymuthica 4Rx13
sry	Serratia plymuthica S13
sply	Serratia inhibens
srs	Serratia sp. AS12
sra	Serratia sp. AS13
ssz	Serratia symbiotica
smaf	Serratia sp. FGI94
slq	Serratia liquefaciens
serf	Serratia sp. FS14
sers	Serratia sp. SCBI
sfw	Serratia fonticola DSM 4576
sfg	Serratia fonticola GS2
srz	Serratia rubidaea
serm	Serratia sp. MYb239
squ	Serratia quinivorans
sfj	Serratia ficaria
sof	Serratia odorifera
ssur	Serratia surfactantfaciens
suri	Serratia ureilytica
srhz	Serratia rhizosphaerae
senp	Serratia entomophila
snem	Serratia nematodiphila
snev	Serratia nevei
sgri	Serratia grimesii
ssar	Serratia sarumanii
serb	Serratia sp. B1
sfo	Chania multitudinisentens
rah	Rahnella aceris Y9602
race	Rahnella aceris ZF458
raq	Rahnella aquatilis CIP 78.65 = ATCC 33071
raa	Rahnella aquatilis HX2
rox	Rahnella sikkimica
rvc	Rahnella victoriana
rbon	Rahnella bonaserana
riu	Rahnella inusitata
gqu	Gibbsiella quercinecans
fsm	Candidatus Fukatsuia symbiotica
eame	Ewingella americana
rbad	Rouxiella badensis subsp. acadiensis
rcb	Rouxiella chamberiensis
caru	Chimaeribacter arupi
nig	Nissabacter sp. SGAir0207
sera	Prodigiosinella confusarubida ATCC 39006
serq	Prodigiosinella confusarubida ATCC 39006
prod	Prodigiosinella aquatilis
eca	Pectobacterium atrosepticum SCRI1043
patr	Pectobacterium atrosepticum JG10-08
pato	Pectobacterium atrosepticum 21A
pct	Pectobacterium carotovorum subsp. carotovorum PC1
pcc	Pectobacterium carotovorum subsp. carotovorum PCC21
pcv	Pectobacterium odoriferum
pwa	Pectobacterium parmentieri WPP163
ppar	Pectobacterium parmentieri RNS 08-42-1A
pec	Pectobacterium parmentieri SCC3193
pws	Pectobacterium wasabiae
ppoa	Pectobacterium polaris
pbra	Pectobacterium brasiliense
ppuj	Pectobacterium punjabense
pari	Pectobacterium aroidearum
paqu	Pectobacterium aquaticum
pvz	Pectobacterium versatile
ppav	Pectobacterium parvum
pqu	Pectobacterium quasiaquaticum
ppoo	Pectobacterium polonicum
pcac	Pectobacterium cacticida
pacb	Pectobacterium actinidiae
pcoa	Pectobacterium colocasium
parl	Pectobacterium araliae
ppeu	Pectobacterium peruviense
ddd	Dickeya dadantii 3937
dze	Dickeya chrysanthemi
ddc	Dickeya parazeae
dzc	Dickeya zeae
dso	Dickeya solani IPO 2222
ced	Dickeya fangzhongdai ND14b
dfn	Dickeya fangzhongdai DSM 101947
ddq	Dickeya dianthicola
daq	Dickeya aquatica
dic	Dickeya poaceiphila
dlc	Dickeya lacustris
dda	Musicola paradisiaca
bgj	Brenneria goodwinii
brb	Brenneria rubrifaciens
bng	Brenneria nigrifluens
biz	Brenneria izadpanahii
lbq	Lonsdalea britannica
lpop	Lonsdalea populi
sgl	Sodalis glossinidius
sod	Sodalis praecaptivus
pes	Candidatus Sodalis pierantonius
seny	Sodalis endosymbiont of Henestaris halophilus
slig	Sodalis ligni
eam	Erwinia amylovora CFBP1430
eay	Erwinia amylovora ATCC 49946
eta	Erwinia tasmaniensis
epy	Erwinia pyrifoliae Ep1/96
epr	Erwinia pyrifoliae DSM 12163
ebi	Erwinia billingiae
erj	Erwinia sp. Ejp617
epe	Erwinia persicina
ehd	Candidatus Erwinia haradaeae
erwi	Erwinia sorbitola
etp	Erwinia tracheiphila
erp	Erwinia rhapontici
epi	Erwinia pyri
erwe	Erwinia sp. E602
eto	Winslowiella toletana
ege	Duffyella gerundensis
buc	Buchnera aphidicola APS (Acyrthosiphon pisum)
bap	Buchnera aphidicola 5A (Acyrthosiphon pisum)
bau	Buchnera aphidicola Tuc7 (Acyrthosiphon pisum)
baw	Buchnera aphidicola JF98 (Acyrthosiphon pisum)
bajc	Buchnera aphidicola JF99 (Acyrthosiphon pisum)
bua	Buchnera aphidicola LL01 (Acyrthosiphon pisum)
bup	Buchnera aphidicola TLW03 (Acyrthosiphon pisum)
bak	Buchnera aphidicola Ak (Acyrthosiphon kondoi)
buh	Buchnera aphidicola Ua (Uroleucon ambrosiae)
bapf	Buchnera aphidicola F009 (Myzus persicae)
bapg	Buchnera aphidicola G002 (Myzus persicae)
bapu	Buchnera aphidicola USDA (Myzus persicae)
bapw	Buchnera aphidicola W106 (Myzus persicae)
bas	Buchnera aphidicola Sg (Schizaphis graminum)
bab	Buchnera aphidicola Bp (Baizongia pistaciae)
bcc	Buchnera aphidicola BCc
baj	Buchnera aphidicola (Cinara tujafilina)
baph	Buchnera aphidicola (Aphis glycines)
wbr	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
wgl	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitan
pam	Pantoea ananatis LMG 20103
plf	Pantoea ananatis LMG 5342
paj	Pantoea ananatis AJ13355
paq	Pantoea ananatis PA13
pva	Pantoea vagans C9-1
pagg	Pantoea vagans FDAARGOS_160
pao	Pantoea sp. At-9b
kln	Pantoea rwandensis
pant	Pantoea sp. PSNIH1
panp	Pantoea sp. PSNIH2
hhs	Candidatus Pantoea carbekii
pck	Candidatus Pantoea carbekii US
pagc	Pantoea agglomerans C410P1
pstw	Pantoea stewartii subsp. stewartii
palh	Pantoea alhagi
pans	Pantoea sp. SO10
pey	Pantoea eucalypti
pdis	Candidatus Pantoea soli
per	Pantoea eucrina
pji	Pantoea jilinensis
pano	Pantoea anthophila
kpie	Pantoea piersonii
palf	Pantoea alfalfae
ppho	Pantoea phytobeneficialis
pdip	Pantoea dispersa
pane	Pantoea sp. X85
pamt	Pantoea sp. MT58
panz	Pantoea sp. SOD02
pgz	Mixta gaviniae
pcd	Mixta calida
mint	Mixta intestinalis
mthi	Mixta theicola
mhan	Mixta hanseatica
tci	Tatumella citrea
tpty	Tatumella ptyseos
tatu	Tatumella sp. TA1
pmak	Paramixta manurensis
plu	Photorhabdus laumondii subsp. laumondii TTO1
plum	Photorhabdus laumondii subsp. laumondii DSPV002N
pay	Photorhabdus asymbiotica
ptt	Photorhabdus thracensis
pakh	Photorhabdus akhurstii
plui	Photorhabdus luminescens
pmr	Proteus mirabilis HI4320
pmib	Proteus mirabilis BB2000
pvl	Proteus mirabilis CYPV1
pvg	Proteus vulgaris
phau	Proteus hauseri
prot	Proteus sp. CD3
pcol	Proteus columbae
pcib	Proteus terrae subsp. cibarius
ppee	Proteus penneri
papp	Proteus appendicitidis
xbo	Xenorhabdus bovienii SS-2004
xbv	Xenorhabdus bovienii CS03
xne	Xenorhabdus nematophila ATCC 19061
xnm	Xenorhabdus nematophila AN6/1
xdo	Xenorhabdus doucetiae
xpo	Xenorhabdus poinarii
xho	Xenorhabdus hominickii
xbu	Xenorhabdus budapestensis
xgr	Xenorhabdus griffiniae
psi	Providencia stuartii MRSN 2154
psx	Providencia stuartii ATCC 33672
psta	Providencia stuartii BE2467
ptha	Providencia stuartii 2017-45-35
prg	Providencia rettgeri
pala	Providencia alcalifaciens
phei	Providencia heimbachae
prq	Providencia huaxiensis
prj	Providencia rustigianii
pvc	Providencia vermicola
pmag	Providencia manganoxydans
phag	Providencia hangzhouensis
pzj	Providencia zhijiangensis
mmk	Morganella morganii
asy	Candidatus Arsenophonus lipoptenae
aen	Arsenophonus endosymbiont of Aleurodicus dispersus
ans	Arsenophonus nasoniae
aed	Arsenophonus endosymbiont of Aphis craccivora
aet	Arsenophonus apicola ArsBeeUS
aapc	Arsenophonus apicola aApi_AU
mwi	Moellerella wisconsensis
eic	Edwardsiella ictaluri
etd	Edwardsiella tarda
ete	Edwardsiella anguillarum
etr	Edwardsiella piscicida EIB202
etc	Edwardsiella piscicida C07-087
edw	Edwardsiella sp. EA181011
edl	Edwardsiella sp. LADL05-105
eho	Edwardsiella hoshinae
hav	Hafnia alvei
hpar	Hafnia paralvei
opo	Obesumbacterium proteus
lpv	Limnobaculum parvum
prag	Limnobaculum zhutongyuii
pfq	Pragia fontium
lri	Leminorella richardii
lgb	Leminorella grimontii
gkn	Gallaecimonas kandeliae
ebo	Enterobacterales bacterium endosymbiont of Anomoneura mori
hin	Haemophilus influenzae Rd KW20 (serotype d)
hit	Haemophilus influenzae 86-028NP (nontypeable)
hip	Haemophilus influenzae PittEE (nontypeable)
hiq	Haemophilus influenzae PittGG (nontypeable)
hif	Haemophilus influenzae F3031 (nontypeable)
hil	Haemophilus influenzae F3047 (nontypeable)
hiu	Haemophilus influenzae 10810 (serotype b)
hie	Haemophilus influenzae R2846 (nontypeable)
hiz	Haemophilus influenzae R2866 (nontypeable)
hik	Haemophilus influenzae KR494 (serotype f)
hia	Haemophilus influenzae CGSHiCZ412602
hih	Haemophilus influenzae Hi375
hiw	Haemophilus influenzae 477
hic	Haemophilus influenzae C486
hix	Haemophilus influenzae 723
hpr	Haemophilus parainfluenzae
hdu	Haemophilus ducreyi
hay	Haemophilus sp. oral taxon 036
hpit	Haemophilus pittmaniae
hhz	Haemophilus haemolyticus
haeg	Haemophilus aegyptius
hpaa	Haemophilus parahaemolyticus
hsem	Haemophilus seminalis
hap	Glaesserella parasuis SH0165
hpaz	Glaesserella parasuis ZJ0906
hpas	Glaesserella parasuis SH03
hpak	Glaesserella parasuis KL0318
gle	Glaesserella sp. 15-184
hso	Histophilus somni 129PT
hsm	Histophilus somni 2336
pmu	Pasteurella multocida subsp. multocida Pm70
pmv	Pasteurella multocida subsp. multocida HN06
pul	Pasteurella multocida subsp. multocida 3480
pmp	Pasteurella multocida 36950
pmul	Pasteurella multocida ATCC 43137
pdag	Pasteurella dagmatis
psky	Pasteurella skyensis
patl	Pasteurella atlantica
pcai	Pasteurella canis
msu	Mannheimia succiniciproducens
bsun	Basfia succiniciproducens
mht	Mannheimia haemolytica USDA-ARS-USMARC-185
mhq	Mannheimia haemolytica USDA-ARS-USMARC-183
mhat	Mannheimia haemolytica USDA-ARS-USMARC-184
mhx	Mannheimia haemolytica M42548
mhae	Mannheimia haemolytica D153
mham	Mannheimia haemolytica D171
mhao	Mannheimia haemolytica D174
mhal	Mannheimia haemolytica USMARC_2286
mhaq	Mannheimia haemolytica 89010807N
mhay	Mannheimia haemolytica 89010807N lktA-
mvr	Mannheimia sp. USDA-ARS-USMARC-1261
mvi	Mannheimia varigena USDA-ARS-USMARC-1296
mvg	Mannheimia varigena USDA-ARS-USMARC-1312
mve	Mannheimia varigena USDA-ARS-USMARC-1388
mgra	Mannheimia granulomatis
mbos	Mannheimia bovis
mpeg	Mannheimia pernigra 17CN0883
mann	Mannheimia pernigra ZY170218
apl	Actinobacillus pleuropneumoniae L20 (serotype 5b)
apj	Actinobacillus pleuropneumoniae JL03 (serotype 3)
apa	Actinobacillus pleuropneumoniae AP76 (serotype 7)
asu	Actinobacillus succinogenes
asi	Actinobacillus suis H91-0380
ass	Actinobacillus suis ATCC 33415
aeu	Actinobacillus equuli subsp. equuli
apor	Actinobacillus porcitonsillarum
aio	Actinobacillus indolicus
adp	Actinobacillus delphinicola
alig	Actinobacillus lignieresii
aart	Actinobacillus arthritidis
agp	Actinobacillus genomosp. 1
agk	Actinobacillus genomosp. 2
aap	Aggregatibacter aphrophilus NJ8700
aaz	Aggregatibacter aphrophilus W10433
aat	Aggregatibacter actinomycetemcomitans D11S-1
aao	Aggregatibacter actinomycetemcomitans ANH9381
aan	Aggregatibacter actinomycetemcomitans D7S-1
aah	Aggregatibacter actinomycetemcomitans HK1651
aacn	Aggregatibacter actinomycetemcomitans NUM4039
aact	Aggregatibacter actinomycetemcomitans 624
aseg	Aggregatibacter segnis
agj	Aggregatibacter sp. oral taxon 513
gan	Gallibacterium anatis
gss	Gallibacterium salpingitidis
bto	Bibersteinia trehalosi USDA-ARS-USMARC-192
btre	Bibersteinia trehalosi USDA-ARS-USMARC-188
btrh	Bibersteinia trehalosi USDA-ARS-USMARC-189
btra	Bibersteinia trehalosi USDA-ARS-USMARC-190
apag	Avibacterium paragallinarum
avt	Avibacterium volantium
rpne	Rodentibacter pneumotropicus
rhey	Rodentibacter caecimuris
rhae	Rodentibacter haemolyticus
ooi	Otariodibacter oris
fcl	Frederiksenia canicola
bhud	Bisgaardia hudsonensis
msep	Mergibacter septicus
paet	Pasteurella aerogenes
pban	Pasteurellaceae bacterium NI1060
xfa	Xylella fastidiosa 9a5c
xft	Xylella fastidiosa Temecula1
xfm	Xylella fastidiosa M12
xfn	Xylella fastidiosa M23
xff	Xylella fastidiosa subsp. fastidiosa GB514
xfl	Xylella fastidiosa MUL0034
xfs	Xylella fastidiosa subsp. sandyi Ann-1
xfh	Xylella fastidiosa Hib4
xtw	Xylella taiwanensis
xcc	Xanthomonas campestris pv. campestris ATCC 33913
xcb	Xanthomonas campestris pv. campestris 8004
xca	Xanthomonas campestris pv. campestris B100
xcp	Xanthomonas campestris pv. raphani
xcv	Xanthomonas euvesicatoria pv. vesicatoria
xax	Xanthomonas euvesicatoria pv. citrumelo F1
xac	Xanthomonas citri pv. citri 306
xci	Xanthomonas citri subsp. citri Aw12879
xct	Xanthomonas citri subsp. citri A306
xcj	Xanthomonas citri subsp. citri UI6
xcu	Xanthomonas citri pv. citri UI7
xcn	Xanthomonas citri pv. citri NT17
xcw	Xanthomonas citri pv. citri MN10
xcr	Xanthomonas citri pv. citri MN11
xcm	Xanthomonas citri pv. citri MN12
xcf	Xanthomonas citri pv. citri mf20
xfu	Xanthomonas citri pv. fuscans
xao	Xanthomonas axonopodis Xac29-1
xom	Xanthomonas oryzae pv. oryzae MAFF 311018
xoo	Xanthomonas oryzae pv. oryzae KACC 10331
xop	Xanthomonas oryzae pv. oryzae PXO99A
